8.222.237.131,2086,2086,FALSE,SIN,Asia Pacific,Singapore,23,10.39
8.210.192.93,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,44,10.39
8.222.167.147,8880,8880,FALSE,SIN,Asia Pacific,Singapore,6,10.38
8.210.245.224,8880,8880,FALSE,HKG,Asia Pacific,Hong Kong,43,10.37
47.236.104.98,8880,8880,FALSE,SIN,Asia Pacific,Singapore,44,10.37
47.236.117.48,443,443,TRUE,SIN,Asia Pacific,Singapore,93,10.37
47.236.117.48,8080,8080,FALSE,SIN,Asia Pacific,Singapore,27,10.36
8.219.103.126,2086,2086,FALSE,SIN,Asia Pacific,Singapore,13,10.36
8.219.124.227,2082,2082,FALSE,SIN,Asia Pacific,Singapore,25,10.36
8.219.248.47,2053,2053,TRUE,SIN,Asia Pacific,Singapore,67,10.36
8.219.100.155,8880,8880,FALSE,SIN,Asia Pacific,Singapore,37,10.35
8.222.210.182,8443,8443,TRUE,SIN,Asia Pacific,Singapore,41,10.35
8.222.253.235,2082,2082,FALSE,SIN,Asia Pacific,Singapore,15,10.34
47.254.66.75,443,443,TRUE,SJC,North America,San Jose,180,10.34
8.222.202.163,2083,2083,TRUE,SIN,Asia Pacific,Singapore,82,10.34
8.219.228.186,8880,8880,FALSE,SIN,Asia Pacific,Singapore,20,10.33
47.236.123.133,2095,2095,FALSE,SIN,Asia Pacific,Singapore,14,10.33
8.222.254.91,443,443,TRUE,SIN,Asia Pacific,Singapore,74,10.33
8.222.237.131,80,80,FALSE,SIN,Asia Pacific,Singapore,5,10.33
8.219.99.8,2087,2087,TRUE,SIN,Asia Pacific,Singapore,81,10.32
8.222.152.165,2052,2052,FALSE,SIN,Asia Pacific,Singapore,13,10.32
8.222.213.221,2086,2086,FALSE,SIN,Asia Pacific,Singapore,5,10.31
8.222.213.221,80,80,FALSE,SIN,Asia Pacific,Singapore,4,10.31
47.236.202.91,2083,2083,TRUE,SIN,Asia Pacific,Singapore,51,10.31
8.219.170.232,2087,2087,TRUE,SIN,Asia Pacific,Singapore,99,10.31
8.219.40.255,2095,2095,FALSE,SIN,Asia Pacific,Singapore,11,10.3
8.219.124.227,2087,2087,TRUE,SIN,Asia Pacific,Singapore,176,10.3
8.219.122.96,2086,2086,FALSE,SIN,Asia Pacific,Singapore,7,10.3
47.236.149.107,80,80,FALSE,SIN,Asia Pacific,Singapore,20,10.29
8.222.197.251,2052,2052,FALSE,SIN,Asia Pacific,Singapore,2,10.29
8.222.140.87,8080,8080,FALSE,SIN,Asia Pacific,Singapore,11,10.28
8.219.156.148,8443,8443,TRUE,SIN,Asia Pacific,Singapore,113,10.28
8.219.139.13,2096,2096,TRUE,SIN,Asia Pacific,Singapore,65,10.28
8.219.100.168,2087,2087,TRUE,SIN,Asia Pacific,Singapore,104,10.28
8.219.103.65,2096,2096,TRUE,SIN,Asia Pacific,Singapore,109,10.27
8.219.109.183,443,443,TRUE,SIN,Asia Pacific,Singapore,112,10.27
47.236.87.206,2083,2083,TRUE,SIN,Asia Pacific,Singapore,77,10.27
8.222.164.209,8080,8080,FALSE,SIN,Asia Pacific,Singapore,9,10.27
8.222.236.229,80,80,FALSE,SIN,Asia Pacific,Singapore,4,10.27
8.222.202.163,8080,8080,FALSE,SIN,Asia Pacific,Singapore,4,10.27
8.219.238.145,8080,8080,FALSE,SIN,Asia Pacific,Singapore,18,10.27
8.219.237.250,8080,8080,FALSE,SIN,Asia Pacific,Singapore,5,10.27
8.219.140.63,2087,2087,TRUE,SIN,Asia Pacific,Singapore,79,10.27
8.219.198.34,2095,2095,FALSE,SIN,Asia Pacific,Singapore,28,10.26
8.222.249.98,2095,2095,FALSE,SIN,Asia Pacific,Singapore,13,10.26
8.218.243.95,2082,2082,FALSE,HKG,Asia Pacific,Hong Kong,55,10.25
8.222.160.176,80,80,FALSE,SIN,Asia Pacific,Singapore,3,10.25
